Radius[m]	PosX[m] PosY[m] PosZ[m]
 0.001 -0.03943927123 0.008236898253 -0.08041593914
 0.001 -0.02696803666 0.02046173735 -0.08081078285
 0.001 0.01815755118 0.007231909595 -0.08382616396
 0.001 0.01787970899 0.02567853856 -0.06965593949
 0.001 -0.03142459801 -0.002146797869 -0.07045429023
 0.001 0.0308402851 -0.02609444385 -0.06968133609
 0.001 0.0199452046 -0.02760229347 -0.06884236542
 0.001 -0.03367788935 0.0007200241792 -0.06419901133
 0.001 0.01971880489 0.006547843164 -0.0827804677
 0.001 0.01339685371 -0.005474057702 -0.08339953093
 0.001 0.0137829375 0.0131660619 -0.07653707024
 0.001 0.01783373759 -0.002625391292 -0.08924322296
 0.001 0.03009249903 -0.01724098685 -0.08258903478
 0.001 -0.0426966132 0.02271838272 -0.06090236085
 0.001 0.0368661352 0.01291060392 -0.07972006937
 0.001 -0.02182858519 7.021657399e-05 -0.06525389695
 0.001 -0.04458491845 0.02425829381 -0.08875408555
 0.001 -0.00635092385 -0.009488655755 -0.07034883581
 0.001 0.01512182696 0.0004422529565 -0.07556917031
 0.001 0.03561264784 0.02083649489 -0.06716042544
 0.001 -0.03830702947 -0.00644210455 -0.07317217738
 0.001 0.03099279186 0.02287347535 -0.08744629532
 0.001 0.03006098254 0.001708717556 -0.08265359829
 0.001 -0.02633611786 0.0289485818 -0.06005838192
 0.001 -0.02457903485 -0.01501804451 -0.05991608535
 0.001 0.001463529098 -0.01208950676 -0.08042494233
 0.001 -0.007930972495 0.02714743384 -0.07919145328
 0.001 -0.03292258117 0.01279778395 -0.07159605474
 0.001 0.01368222148 -0.01153960226 -0.08118886249
 0.001 0.002810113843 0.01426943489 -0.06452606887
 0.001 0.04715829618 -0.002014207701 -0.06925784028
 0.001 -0.01809020644 -0.02146729728 -0.07641326052
 0.001 -0.01098558909 0.02161251509 -0.08093015917
 0.001 0.03814060132 0.02719583403 -0.06072008822
 0.001 0.0292426424 0.02067016386 -0.07276698182
 0.001 0.01108648731 -0.0267939837 -0.08340217714
 0.001 -0.02803892626 0.01713729515 -0.06169229519
 0.001 -0.03762409946 0.01287266955 -0.08739691416
 0.001 -0.01835498528 0.001517911032 -0.08050339846
 0.001 -0.03151983533 0.009854730454 -0.06480859926
 0.001 0.00404920624 -0.003870207573 -0.07472646805
 0.001 -0.04462688585 0.02389673734 -0.08131800094
 0.001 0.0345551855 -0.02218216415 -0.06693797816
 0.001 0.03802192629 0.01294598365 -0.07052990245
 0.001 0.01392537114 0.00571833175 -0.08423442413
 0.001 0.0115558955 0.01429890966 -0.08406658464
 0.001 0.04215774759 0.0125578696 -0.06110513028
