4.65,0.00
6.32,0.04
6.74,0.04
7.40,0.08
8.12,0.08
8.92,0.08
9.79,0.12
10.74,0.17
11.78,0.22
12.93,0.28
14.19,0.34
15.58,0.47
17.10,0.54
18.76,0.77
20.59,0.93
22.59,1.27
24.80,1.63
27.22,2.00
29.87,2.58
32.78,3.30
35.98,4.19
39.49,5.41
43.34,7.02
47.56,9.07
52.20,11.90
57.29,15.21
62.87,19.63
69.00,24.76
75.73,30.80
83.11,37.83
91.21,45.61
100.11,53.93
109.87,62.39
120.59,70.52
132.34,77.99
145.24,84.31
159.40,89.28
174.94,92.92
192.00,95.33
210.72,96.78
231.26,97.61
253.81,98.07
278.56,98.30
305.72,98.45
335.53,98.52
368.24,98.58
404.14,98.63
443.54,98.68
486.79,98.72
534.25,98.75
586.34,98.78
643.51,98.82
706.25,98.82
775.10,98.85
850.68,98.92
933.62,98.92
1024.64,98.93
1124.54,98.95
1234.18,99.03
1354.51,99.15
1486.58,99.25
1631.52,99.29
1790.59,99.36
1965.17,99.36
2156.77,99.36
2367.05,100.00
2597.84,100.00
2851.12,100.00
3129.10,100.00
3434.18,100.00
3769.01,100.00
4136.49,100.00
4539.79,100.00
4982.41,100.00
5468.19,100.00
6001.33,100.00
6586.45,100.00
7228.62,100.00
7933.41,100.00
8706.91,100.00
9555.82,100.00
